"SourceReef","Longitude","Latitude","Density","OutDegree","InDegree","OutStrength","InStrength","SelfRecruitment","LocalRetention","Betweenness","Type","Temperature","Salinity","CurrentSpeed","pH","HSI_value"
"STM_04",-76.44391691,38.19172158,98.563516788,30,30,8.38353589686312,12.6965327654753,0.279577810504554,0.0333484360231777,900,"Sink",16.438366651535,11.5307650566101,0.022754352840209,8.24905586242676,0.84968764369808
"STM_01",-76.44348882,38.188293,66.875,30,30,5.68655205376347,12.6920517350426,0.189692562590952,0.0333580983340177,900,"Isolated",16.4379124244054,11.6866124471029,0.0137890189534515,8.25989079475403,0.850985546079505
"STM_05",-76.44929064,38.1916793,325.75,30,30,27.7089712388421,12.6973296533509,0.923997790863591,0.0333465209840898,900,"Hub",16.4052313963572,11.3570504983266,0.0175214551111297,8.23994072278341,0.846752103043077
"STM_10",-76.45710811,38.20349438,61.9807892,30,30,5.27034827144163,12.6934242947754,0.175810014725347,0.0333583295961686,900,"Isolated",16.5620789130529,10.5596158504486,0.0263212433667922,8.25914684931437,0.833526314923233
"STM_22",-76.44255534,38.19766436,30.454545455,30,30,2.59048528163725,12.6975910104085,0.086385058241519,0.0333470561882218,900,"Sink",16.4526822566986,11.481166044871,0.0184726570342011,8.24462540944417,0.851377912064301
"STM_23",-76.44197767,38.19830614,55,30,30,4.67833909064819,12.6975910104085,0.1560088365234,0.0333470561882218,900,"Sink",16.4526822566986,11.481166044871,0.0184726570342011,8.24462540944417,0.851377912064301
"STM_03",-76.44253725,38.19201482,38.551401869,30,30,3.2790739613961,12.6965327654753,0.109351988216886,0.0333484360231777,900,"Sink",16.438366651535,11.5307650566101,0.022754352840209,8.24905586242676,0.84968764369808
"STM_09",-76.45284867,38.20068935,70.125,30,30,5.9652250432286,12.6983885791756,0.198911266567335,0.0333451403971973,900,"Sink",16.4954187472661,11.1702124277751,0.0250867556784395,8.24855550130208,0.845181638155157
"STM_32",-76.4406821,38.19039433,58.125,30,30,4.9425172056075,12.6920517350426,0.164872974962229,0.0333580983340177,900,"Isolated",16.4379124244054,11.6866124471029,0.0137890189534515,8.25989079475403,0.850985546079505
"STM_06",-76.4491638,38.19197338,227.2,30,30,19.3261036545355,12.6973296533509,0.644458321056662,0.0333465209840898,900,"Hub",16.4052313963572,11.3570504983266,0.0175214551111297,8.23994072278341,0.846752103043077
"STM_24",-76.4338273,38.1971551,290.8,30,30,24.7281488615653,12.6933988152525,0.824861266563721,0.033357178136605,900,"Source",16.5585890213648,11.8445916175842,0.00808253051843296,8.22606647014618,0.864224356342357
"STM_07",-76.45473964,38.19615771,92,30,30,7.82423498449094,12.6947316080875,0.260960235639141,0.0333528116367175,900,"Isolated",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"STM_11",-76.45525722,38.21003718,120.36363636,30,30,10.2300987378623,12.6876334348542,0.341414379422712,0.0333735175164161,900,"Isolated",16.6538153489431,10.3886907100677,0.0133512206091428,8.27043128013611,0.831916847896132
"STM_12",-76.45485941,38.20919873,151.90909091,30,30,12.9112499936455,12.6876334348542,0.430893827821754,0.0333735175164161,900,"Source",16.6538153489431,10.3886907100677,0.0133512206091428,8.27043128013611,0.831916847896132
"STM_13",-76.45209172,38.20840362,130.03870481,30,30,11.0208805283119,12.6902291486823,0.368857946189417,0.0334690086914422,900,"Isolated",NA,NA,NA,NA,0
"STM_16",-76.44750278,38.19790759,102,30,30,8.67669097196887,12.6983885791756,0.289325478643396,0.0333451403971973,900,"Sink",16.4954187472661,11.1702124277751,0.0250867556784395,8.24855550130208,0.845181638155157
"STM_17",-76.44717658,38.19787162,352.54413292,30,30,29.9876545130601,12.6975910104085,1,0.0333470561882218,900,"Hub",16.4526822566986,11.481166044871,0.0184726570342011,8.24462540944417,0.851377912064301
"STM_28",-76.43185372,38.19580124,153.23076923,30,30,13.0222659099576,12.6847614462634,0.434642800493779,0.0333768948890396,900,"Source",16.4833413362503,11.8733247915904,0.00645108325184875,8.234992146492,0.861769711693913
"STM_34",-76.43104352,38.19207651,94.0636898580824,30,30,7.99397136723317,12.6847614462634,0.266813942070134,0.0333768948890396,900,"Isolated",16.4833413362503,11.8733247915904,0.00645108325184875,8.234992146492,0.861769711693913
"MiniPlantingArea3",-76.45563643,38.19559745,178.42,30,30,15.173913107966,12.6947316080875,0.506092665681909,0.0333528116367175,900,"Source",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"PlantingArea6",-76.4557947,38.19520443,173.56,30,30,14.760589390307,12.6947316080875,0.492307157581841,0.0333528116367175,900,"Source",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"PlantingArea5",-76.455411,38.19594548,221.31,30,30,18.8215374393227,12.6947316080875,0.627751192927157,0.0333528116367175,900,"Source",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"SupplementalSite2Inshore",-76.4475205,38.20366091,52.99,30,30,4.50669341833487,12.6960215650507,0.150307422679545,0.0333520407818378,900,"Sink",16.570830543836,11.0394996007284,0.0118551100945686,8.25760650634766,0.844059861031183
"Supplemental1",-76.45418408,38.19651195,110.94,30,30,9.43500683890679,12.6947316080875,0.3146840058892,0.0333528116367175,900,"Isolated",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"MiniPlantingArea2",-76.45496448,38.19598567,182.37,30,30,15.5098449361045,12.6947316080875,0.517296936668589,0.0333528116367175,900,"Source",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"MiniPlantingArea1",-76.45396827,38.19732628,244.55,30,30,20.8027919332842,12.6983885791756,0.693672017669044,0.0333451403971973,900,"Hub",16.4954187472661,11.1702124277751,0.0250867556784395,8.24855550130208,0.845181638155157
"PlantingArea3",-76.45420233,38.19697833,161.15,30,30,13.7057361535539,12.6957905317534,0.457105891013561,0.0333514293498956,900,"Hub",16.41907842954,10.9312341213226,0.0178245238410655,8.24293168385824,0.83990985774573
"PlantingArea2",-76.45386911,38.19794391,208.74,30,30,17.756592877341,12.6983885791756,0.592096082470809,0.0333451403971973,900,"Hub",16.4954187472661,11.1702124277751,0.0250867556784395,8.24855550130208,0.845181638155157
"PlantingArea1",-76.45359295,38.1988048,184.25,30,30,15.6733363880908,12.6983885791756,0.522629602353389,0.0333451403971973,900,"Hub",16.4954187472661,11.1702124277751,0.0250867556784395,8.24855550130208,0.845181638155157
"5-acreReefSite",-76.43089697,38.19089631,240.66,30,30,20.4464857563014,12.6802878044565,0.682637938140389,0.0333865656072465,900,"Source",16.3025022347768,11.8683060805003,0.00597401041464888,8.24949113527934,0.852503646316737
